issue_id,project_id,issue_category,description,severity,status,date_raised,date_resolved
ISS001,PRJ001,Quality,"Quality issue requiring project team attention",Medium,"In Progress",2025-08-04,NULL
ISS002,PRJ001,Resource,"Resource issue requiring project team attention",Medium,Escalated,2025-06-27,NULL
ISS003,PRJ002,Communication,"Communication issue requiring project team attention",High,Escalated,2025-06-14,NULL
ISS004,PRJ002,Communication,"Communication issue requiring project team attention",High,"In Progress",2025-05-11,NULL
ISS005,PRJ002,Supplier,"Supplier issue requiring project team attention",High,"In Progress",2025-08-11,NULL
ISS006,PRJ002,Resource,"Resource issue requiring project team attention",Critical,Resolved,2025-05-24,2025-07-10
ISS007,PRJ003,Supplier,"Supplier issue requiring project team attention",High,Resolved,2025-07-09,2025-09-02
ISS008,PRJ003,Communication,"Communication issue requiring project team attention",Medium,Open,2025-10-07,NULL
ISS009,PRJ003,Supplier,"Supplier issue requiring project team attention",Critical,"In Progress",2025-11-25,NULL
ISS010,PRJ003,Supplier,"Supplier issue requiring project team attention",Low,Escalated,2025-12-07,NULL
ISS011,PRJ004,Communication,"Communication issue requiring project team attention",Medium,Open,2025-07-22,NULL
ISS012,PRJ004,Schedule,"Schedule issue requiring project team attention",Low,Resolved,2025-04-09,2025-05-24
ISS013,PRJ004,Resource,"Resource issue requiring project team attention",High,Escalated,2025-02-15,NULL
ISS014,PRJ004,Supplier,"Supplier issue requiring project team attention",Medium,Escalated,2025-09-17,NULL
ISS015,PRJ005,Supplier,"Supplier issue requiring project team attention",Low,Resolved,2025-12-26,2026-02-01
ISS016,PRJ005,Supplier,"Supplier issue requiring project team attention",Medium,Open,2025-02-25,NULL
ISS017,PRJ005,Resource,"Resource issue requiring project team attention",Medium,Resolved,2025-03-21,2025-05-02
ISS018,PRJ005,Technical,"Technical issue requiring project team attention",Medium,Escalated,2025-06-26,NULL
ISS019,PRJ006,Technical,"Technical issue requiring project team attention",Low,Resolved,2025-04-17,2025-06-06
ISS020,PRJ006,Supplier,"Supplier issue requiring project team attention",Medium,"In Progress",2025-08-12,NULL
ISS021,PRJ006,Schedule,"Schedule issue requiring project team attention",Medium,"In Progress",2025-06-01,NULL
ISS022,PRJ006,Schedule,"Schedule issue requiring project team attention",Low,Escalated,2025-02-04,NULL
ISS023,PRJ007,Budget,"Budget issue requiring project team attention",Medium,Escalated,2025-04-17,NULL
ISS024,PRJ007,Schedule,"Schedule issue requiring project team attention",Medium,Open,2025-08-24,NULL
ISS025,PRJ008,Budget,"Budget issue requiring project team attention",Low,Open,2025-12-04,NULL
ISS026,PRJ008,Technical,"Technical issue requiring project team attention",High,Open,2025-11-26,NULL
ISS027,PRJ008,Resource,"Resource issue requiring project team attention",High,"In Progress",2025-09-06,NULL
ISS028,PRJ008,Supplier,"Supplier issue requiring project team attention",Low,Escalated,2025-08-08,NULL
ISS029,PRJ009,Quality,"Quality issue requiring project team attention",Low,Escalated,2025-07-01,NULL
ISS030,PRJ009,Quality,"Quality issue requiring project team attention",Medium,"In Progress",2025-08-19,NULL
ISS031,PRJ009,Schedule,"Schedule issue requiring project team attention",Medium,"In Progress",2025-04-09,NULL
ISS032,PRJ009,Communication,"Communication issue requiring project team attention",High,Open,2025-10-04,NULL
ISS033,PRJ010,Budget,"Budget issue requiring project team attention",Medium,Escalated,2025-02-09,NULL
ISS034,PRJ010,Quality,"Quality issue requiring project team attention",High,Resolved,2025-10-13,2025-11-24
ISS035,PRJ011,Supplier,"Supplier issue requiring project team attention",Low,Resolved,2025-08-20,2025-09-03
ISS036,PRJ011,Communication,"Communication issue requiring project team attention",Medium,Resolved,2025-10-19,2025-10-27
ISS037,PRJ011,Quality,"Quality issue requiring project team attention",Low,Open,2025-04-10,NULL
ISS038,PRJ011,Technical,"Technical issue requiring project team attention",Low,"In Progress",2025-09-13,NULL
ISS039,PRJ012,Supplier,"Supplier issue requiring project team attention",Low,Escalated,2025-07-06,NULL
ISS040,PRJ012,Schedule,"Schedule issue requiring project team attention",Medium,"In Progress",2025-09-06,NULL
ISS041,PRJ012,Schedule,"Schedule issue requiring project team attention",Medium,"In Progress",2025-06-27,NULL
ISS042,PRJ012,Schedule,"Schedule issue requiring project team attention",Medium,Resolved,2025-01-16,2025-01-27
ISS043,PRJ013,Communication,"Communication issue requiring project team attention",Medium,Escalated,2025-07-22,NULL
ISS044,PRJ013,Schedule,"Schedule issue requiring project team attention",Medium,Escalated,2025-08-06,NULL
ISS045,PRJ014,Supplier,"Supplier issue requiring project team attention",Low,"In Progress",2025-05-02,NULL
ISS046,PRJ015,Resource,"Resource issue requiring project team attention",Medium,"In Progress",2025-08-19,NULL
ISS047,PRJ015,Quality,"Quality issue requiring project team attention",High,Escalated,2025-09-17,NULL
ISS048,PRJ015,Technical,"Technical issue requiring project team attention",Medium,Resolved,2025-09-27,2025-10-23
ISS049,PRJ016,Communication,"Communication issue requiring project team attention",High,"In Progress",2025-07-04,NULL
ISS050,PRJ017,Budget,"Budget issue requiring project team attention",High,Open,2025-08-09,NULL
ISS051,PRJ017,Budget,"Budget issue requiring project team attention",High,Open,2025-08-28,NULL
ISS052,PRJ018,Communication,"Communication issue requiring project team attention",High,"In Progress",2025-12-19,NULL
ISS053,PRJ019,Communication,"Communication issue requiring project team attention",High,Escalated,2025-03-20,NULL
ISS054,PRJ019,Resource,"Resource issue requiring project team attention",High,"In Progress",2025-01-19,NULL
ISS055,PRJ019,Budget,"Budget issue requiring project team attention",Medium,"In Progress",2025-06-23,NULL
ISS056,PRJ020,Budget,"Budget issue requiring project team attention",Medium,Open,2025-03-25,NULL
ISS057,PRJ020,Communication,"Communication issue requiring project team attention",Medium,Open,2025-05-28,NULL
ISS058,PRJ020,Quality,"Quality issue requiring project team attention",Low,"In Progress",2025-04-05,NULL
ISS059,PRJ021,Communication,"Communication issue requiring project team attention",Low,Escalated,2025-08-05,NULL
ISS060,PRJ021,Supplier,"Supplier issue requiring project team attention",Medium,Escalated,2025-07-15,NULL
ISS061,PRJ021,Technical,"Technical issue requiring project team attention",Medium,Open,2025-07-17,NULL
ISS062,PRJ022,Quality,"Quality issue requiring project team attention",High,Resolved,2025-08-16,2025-09-08
ISS063,PRJ022,Supplier,"Supplier issue requiring project team attention",Low,Open,2025-12-15,NULL
ISS064,PRJ022,Quality,"Quality issue requiring project team attention",Medium,Resolved,2025-02-26,2025-04-04
ISS065,PRJ023,Resource,"Resource issue requiring project team attention",Critical,"In Progress",2025-08-09,NULL
ISS066,PRJ023,Budget,"Budget issue requiring project team attention",High,Resolved,2025-09-19,2025-09-30
ISS067,PRJ023,Supplier,"Supplier issue requiring project team attention",High,Resolved,2025-11-25,2025-12-01
ISS068,PRJ023,Technical,"Technical issue requiring project team attention",Low,Escalated,2025-01-04,NULL
ISS069,PRJ024,Schedule,"Schedule issue requiring project team attention",Medium,Escalated,2025-04-23,NULL
ISS070,PRJ024,Resource,"Resource issue requiring project team attention",High,Resolved,2025-03-28,2025-05-26
ISS071,PRJ025,Technical,"Technical issue requiring project team attention",Medium,Resolved,2025-02-12,2025-03-29
ISS072,PRJ025,Quality,"Quality issue requiring project team attention",Low,Escalated,2025-11-10,NULL
ISS073,PRJ025,Quality,"Quality issue requiring project team attention",Medium,"In Progress",2025-07-21,NULL
ISS074,PRJ026,Quality,"Quality issue requiring project team attention",Low,"In Progress",2025-08-03,NULL
ISS075,PRJ027,Supplier,"Supplier issue requiring project team attention",Low,Escalated,2025-01-01,NULL
ISS076,PRJ027,Quality,"Quality issue requiring project team attention",Medium,Open,2025-07-23,NULL
ISS077,PRJ028,Schedule,"Schedule issue requiring project team attention",Low,Escalated,2025-02-24,NULL
ISS078,PRJ028,Communication,"Communication issue requiring project team attention",Low,Resolved,2025-06-10,2025-06-21
ISS079,PRJ029,Communication,"Communication issue requiring project team attention",High,"In Progress",2025-11-22,NULL
ISS080,PRJ029,Resource,"Resource issue requiring project team attention",Low,Open,2025-10-21,NULL
ISS081,PRJ029,Resource,"Resource issue requiring project team attention",Medium,"In Progress",2025-11-24,NULL
ISS082,PRJ029,Resource,"Resource issue requiring project team attention",High,Escalated,2025-04-03,NULL
ISS083,PRJ030,Resource,"Resource issue requiring project team attention",High,Escalated,2025-06-14,NULL
ISS084,PRJ031,Communication,"Communication issue requiring project team attention",Low,Resolved,2025-11-03,2025-11-21
ISS085,PRJ031,Supplier,"Supplier issue requiring project team attention",Medium,Resolved,2025-12-01,2026-01-27
ISS086,PRJ031,Communication,"Communication issue requiring project team attention",Medium,Resolved,2025-04-17,2025-05-28
ISS087,PRJ032,Quality,"Quality issue requiring project team attention",Medium,Open,2025-04-16,NULL
ISS088,PRJ032,Schedule,"Schedule issue requiring project team attention",Low,Escalated,2025-11-20,NULL
ISS089,PRJ033,Supplier,"Supplier issue requiring project team attention",High,Open,2025-06-11,NULL
ISS090,PRJ034,Schedule,"Schedule issue requiring project team attention",High,Escalated,2025-06-18,NULL
ISS091,PRJ034,Quality,"Quality issue requiring project team attention",Low,Escalated,2025-02-01,NULL
ISS092,PRJ035,Technical,"Technical issue requiring project team attention",Medium,Open,2025-01-26,NULL
ISS093,PRJ036,Supplier,"Supplier issue requiring project team attention",Medium,Escalated,2025-07-23,NULL
ISS094,PRJ036,Schedule,"Schedule issue requiring project team attention",Low,"In Progress",2025-05-03,NULL
ISS095,PRJ036,Budget,"Budget issue requiring project team attention",Low,"In Progress",2025-03-18,NULL
ISS096,PRJ036,Budget,"Budget issue requiring project team attention",Medium,Open,2025-05-23,NULL
