risk_id,project_id,risk_category,risk_description,probability,impact,risk_score,status
RSK001,PRJ001,Compliance,"Potential compliance risk affecting project delivery",5,2,10,Mitigated
RSK002,PRJ002,Operational,"Potential operational risk affecting project delivery",3,2,6,Closed
RSK003,PRJ002,Technical,"Potential technical risk affecting project delivery",3,5,15,Open
RSK004,PRJ002,Financial,"Potential financial risk affecting project delivery",2,2,4,Mitigated
RSK005,PRJ002,Compliance,"Potential compliance risk affecting project delivery",1,3,3,Closed
RSK006,PRJ003,Operational,"Potential operational risk affecting project delivery",5,4,20,Monitoring
RSK007,PRJ003,Technical,"Potential technical risk affecting project delivery",2,5,10,Monitoring
RSK008,PRJ003,Technical,"Potential technical risk affecting project delivery",4,1,4,Closed
RSK009,PRJ003,Compliance,"Potential compliance risk affecting project delivery",5,4,20,Monitoring
RSK010,PRJ004,Resource,"Potential resource risk affecting project delivery",4,5,20,Open
RSK011,PRJ005,Resource,"Potential resource risk affecting project delivery",3,2,6,Mitigated
RSK012,PRJ006,Technical,"Potential technical risk affecting project delivery",3,1,3,Mitigated
RSK013,PRJ006,Operational,"Potential operational risk affecting project delivery",4,2,8,Monitoring
RSK014,PRJ006,Operational,"Potential operational risk affecting project delivery",5,2,10,Mitigated
RSK015,PRJ007,Operational,"Potential operational risk affecting project delivery",1,4,4,Mitigated
RSK016,PRJ008,Financial,"Potential financial risk affecting project delivery",3,5,15,Monitoring
RSK017,PRJ008,Schedule,"Potential schedule risk affecting project delivery",4,4,16,Monitoring
RSK018,PRJ008,Financial,"Potential financial risk affecting project delivery",4,1,4,Closed
RSK019,PRJ008,Resource,"Potential resource risk affecting project delivery",5,4,20,Monitoring
RSK020,PRJ009,Operational,"Potential operational risk affecting project delivery",1,2,2,Closed
RSK021,PRJ010,Schedule,"Potential schedule risk affecting project delivery",1,4,4,Closed
RSK022,PRJ010,Compliance,"Potential compliance risk affecting project delivery",3,2,6,Closed
RSK023,PRJ010,Supplier,"Potential supplier risk affecting project delivery",2,1,2,Mitigated
RSK024,PRJ010,Schedule,"Potential schedule risk affecting project delivery",5,2,10,Mitigated
RSK025,PRJ011,Compliance,"Potential compliance risk affecting project delivery",2,2,4,Mitigated
RSK026,PRJ011,Resource,"Potential resource risk affecting project delivery",3,2,6,Mitigated
